COOP:166657,NEW IBERIA AIRPORT ACADIANA REGIONAL LA US,7.3,30.0375,-91.8839,3,-225,-32,0,0,-0.151858178,-1.172227779,-2.224516852, Normal, Low, Very Dry
COOP:028468,TEEC NOS POS AZ US,1612.4,36.9233,-109.09,3,-31,15,0,0,1.309016393,2.27882442,-0.070576059, Warm, Very High, Normal
COOP:457180,ROSALIA WA US,733,47.2325,-117.3626,3,212,-2,0,2,0.780614953,0.388066646,2.627401326, Normal, Normal, Very Wet
COOP:457185,ROSS DAM WA US,376.7,48.7272,-121.0722,3,1144,-22,0,1,0.158966199,-0.377997711,12.97519936, Normal, Normal, Very Wet
COOP:210252,ARGYLE MN US,258.2,48.3311,-96.8252,3,-25,-95,0,18,-2.110051752,-0.632779148,-0.003959333, Very Cold, Normal, Normal
COOP:478376,SURING WI US,241.4,44.9958,-88.3786,3,-9,-105,0,16,-2.420876129,-0.668900061,0.173685268, Very Cold, Normal, Normal
COOP:133632,HARLAN 1 N IA US,414.5,41.6403,-95.2875,3,-69,-38,0,5,-0.338352804,-0.296725657,-0.492481987, Normal, Normal, Normal
COOP:356883,PRINEVILLE OR US,888.5,44.3023,-120.808,3,39,22,0,0,1.526593457,0.722400093,0.706619073, Warm, Normal, Normal
COOP:166667,NEW ORLEANS LAKEFRONT AIRPORT LA US,2.7,30.0494,-90.0288,3,288,-39,0,0,-0.369435242,-1.182118029,3.471213183, Normal, Low, Very Wet
COOP:166664,NEW ORLEANS AUDUBON LA US,6.1,29.9166,-90.1302,3,41,-28,0,0,-0.027528427,-1.174807844,0.728824648, Normal, Low, Normal
COOP:067970,STAMFORD 5 N CT US,57.9,41.1247,-73.5475,3,-119,-54,0,0,-0.835671807,-1.06343503,-1.047621367, Normal, Low, Dry
COOP:253755,HEMINGFORD NE US,1301.5,42.3208,-103.0733,3,-36,-18,0,5,0.28329595,1.61037253,-0.126089997, Normal, High, Normal
COOP:144665,LEOTI 1 SE KS US,1009.5,38.4795,-101.3657,3,-135,-8,0,1,0.594120326,0.982556667,-1.225265969, Normal, Normal, Dry
COOP:300785,BOONVILLE 4 SSW NY US,472.4,43.4361,-75.3697,3,-18,-98,0,20,-2.203299065,-0.172237512,0.07376018, Very Cold, Normal, Normal
COOP:166660,NEW ORLEANS INTERNATIONAL AIRPORT LA US,1.2,29.9933,-90.2511,3,70,-32,0,0,-0.151858178,-1.18534311,1.050805488, Normal, Low, Wet
COOP:154202,JACKSON JULIAN CARROLL AIRPORT KY US,416.1,37.59139,-83.31444,3,139,-41,0,1,-0.431600117,-0.29328557,1.816897832, Normal, Normal, Wet
COOP:154208,JAMESTOWN KY US,271.3,37.0055,-85.0616,3,105,-67,0,3,-1.239743497,-0.604613437,1.439403054, Cold, Normal, Wet
COOP:243176,FORT PECK POWER PLAN MT US,630.9,48.0119,-106.4117,3,7,-32,0,7,-0.151858178,0.168546099,0.35132987, Normal, Normal, Normal
COOP:093538,FORT STEWART GA US,28,31.8717,-81.6289,3,-64,-26,0,0,0.034636448,-1.127721654,-0.436968049, Normal, Low, Normal
COOP:094676,JESUP 8 S GA US,30.5,31.5075,-81.8628,3,0,0,0,0,0.842779828,-1.122346518,0.273610356, Normal, Low, Normal
COOP:476208,OCONTO 4 W WI US,201.2,44.8919,-87.955,3,-97,-124,0,17,-3.011442445,-0.755332245,-0.80336004, Very Cold, Normal, Normal
COOP:028499,TEMPE ASU AZ US,355.7,33.4258,-111.9216,3,44,12,0,0,1.21576908,-0.423148852,0.762133011, Warm, Normal, Normal
COOP:478349,SUPERIOR US,192,46.7,-92.0167,3,77,0,0,12,0.842779828,-0.775112745,1.128525001, Normal, Normal, Wet
COOP:476200,OCONOMOWOC WI US,260.9,43.1002,-88.5036,3,-95,-84,0,12,-1.768144938,-0.626974002,-0.781154465, Cold, Normal, Normal
COOP:144695,LIBERAL KS US,863.8,37.0222,-100.9294,3,-129,-42,0,3,-0.462682555,0.669293751,-1.158649243, Normal, Normal, Dry
COOP:243113,FORT BENTON MT US,807.4,47.8305,-110.6609,3,26,-78,0,12,-1.581650312,0.548030687,0.562282834, Cold, Normal, Normal
COOP:243110,FORT ASSINNIBOINE MT US,815.3,48.4982,-109.8014,3,22,-91,0,13,-1.985722002,0.565016117,0.517871683, Cold, Normal, Normal
COOP:503368,GOLDSTREAM CREEK AK US,175.9,64.89389,-147.87528,3,0,0,0,17,0.842779828,-0.809728619,0.273610356, Normal, Normal, Normal
COOP:243118,FORT BELKNAP 2 SW MT US,770.2,48.46278,-108.77917,3,0,0,0,10,0.842779828,0.468048666,0.273610356, Normal, Normal, Normal
COOP:345855,MIAMI OK US,245.4,36.8833,-94.8833,3,-63,-38,0,1,-0.338352804,-0.660299844,-0.425865262, Normal, Normal, Normal
COOP:383470,GEORGETOWN CO AIRPORT SC US,9.1,33.3169,-79.3227,3,285,-45,0,0,-0.555929868,-1.168357681,3.43790482, Normal, Low, Very Wet
COOP:478316,MILWAUKEE WSFO DOUSMAN WI US,284.4,42.9675,-88.5497,3,-99,-64,0,10,-1.146496184,-0.576447725,-0.825565615, Cold, Normal, Normal
COOP:470516,BARABOO WI US,250.9,43.4583,-89.7269,3,-62,-82,0,11,-1.705980062,-0.648474545,-0.414762474, Cold, Normal, Normal
COOP:137594,SHELDON IA US,432.8,43.1808,-95.8528,3,-159,-46,0,13,-0.587012306,-0.257379663,-1.491732871, Normal, Normal, Dry
COOP:242409,DILLON WMCE MT US,1593.5,45.2127,-112.6447,3,-19,-11,0,1,0.500873013,2.238188393,0.062657392, Normal, Very High, Normal
